,Borough,Neighbourhood,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue category,Venue Category
0,Barking and Dagenham,Rush Green,51.5655,0.176,Co-op Food,51.56581960098215,0.17596575392056632,Grocery Store,shops
1,Barking and Dagenham,Rush Green,51.5655,0.176,BP,51.56580077,0.17686215,Gas Station,shops
2,Barking and Dagenham,Rush Green,51.5655,0.176,Costa Coffee,51.56802884224215,0.1802117817135715,Coffee Shop,food
3,Barking and Dagenham,Rush Green,51.5655,0.176,Lynne Davis Wedding and Events,51.5659085,0.1782937000000402,Flower Shop,shops
4,Barking and Dagenham,Rush Green,51.5655,0.176,Go Shop,51.56845423690923,0.18002986907958984,Convenience Store,shops
5,Barking and Dagenham,Marks Gate,51.5863692,0.1348482,Co-op Food,51.5843134874927,0.13564806896423892,Grocery Store,shops
6,Barking and Dagenham,Marks Gate,51.5863692,0.1348482,The Crooked Billet,51.587311058569334,0.13042943941465784,Dive Bar,nightlife
7,Barking and Dagenham,Becontree Heath,51.563595,0.152614,Iceland,51.560578167590656,0.14768507524076793,Grocery Store,shops
8,Barking and Dagenham,Becontree Heath,51.563595,0.152614,Shell,51.56041501,0.14836371,Gas Station,shops
9,Barking and Dagenham,Becontree Heath,51.563595,0.152614,Beacontree Heath Leisure Centre,51.560996632647786,0.14893167876739952,Gym / Fitness Center,building
10,Barking and Dagenham,Becontree Heath,51.563595,0.152614,Crowlands Heath Golf Course,51.5624574601544,0.15581838045746524,Golf Course,parks_outdoors
11,Barking and Dagenham,Becontree Heath,51.563595,0.152614,Becontree Heath Bus Station,51.56106458275284,0.15099763870239258,Bus Station,travel
12,Barking and Dagenham,Becontree Heath,51.563595,0.152614,Robert Clack Leisure Centre,51.56080801587019,0.15270422665309488,Martial Arts Dojo,shops
13,Barking and Dagenham,Becontree Heath,51.563595,0.152614,Dagenham Swimming Pool,51.560945616266956,0.15005446022483504,Pool,parks_outdoors
14,Barking and Dagenham,Becontree Heath,51.563595,0.152614,Heath Pie Shop,51.560413827647835,0.1476554329038189,Diner,food
15,Barking and Dagenham,Becontree,51.5487,0.1427,Londis,51.547309159007504,0.1459336280822754,Convenience Store,shops
16,Barking and Dagenham,Barking,51.54,0.08,Nando's,51.539667,0.082176,Portuguese Restaurant,food
17,Barking and Dagenham,Barking,51.54,0.08,Cristina's,51.536522763049014,0.07667182139458822,Steakhouse,food
18,Barking and Dagenham,Barking,51.54,0.08,The Gym London Barking,51.53619293708999,0.07860085726238432,Gym,building
19,Barking and Dagenham,Barking,51.54,0.08,B&M Store,51.537903,0.08130077,Discount Store,shops
20,Barking and Dagenham,Barking,51.54,0.08,Subway,51.53868821887338,0.08078813552856445,Sandwich Place,food
21,Barking and Dagenham,Barking,51.54,0.08,Costa Coffee,51.539272,0.081341,Coffee Shop,food
22,Barking and Dagenham,Barking,51.54,0.08,Boots,51.538888414023596,0.08072376251220703,Pharmacy,shops
23,Barking and Dagenham,Barking,51.54,0.08,Asda,51.53689,0.077661,Supermarket,shops
24,Barking and Dagenham,Barking,51.54,0.08,Domino's Pizza,51.539833,0.0822227,Pizza Place,food
25,Barking and Dagenham,Barking,51.54,0.08,Barking Dog (Wetherspoon),51.539659491513284,0.08158271943139075,Pub,nightlife
26,Barking and Dagenham,Barking,51.54,0.08,Lidl,51.5357614073454,0.0818426649564688,Supermarket,shops
27,Barking and Dagenham,Barking,51.54,0.08,Tesco Express,51.536930896613505,0.08041146823554984,Grocery Store,shops
28,Barking and Dagenham,Barking,51.54,0.08,Travelodge London Barking,51.53727676527283,0.07985681595387477,Hotel,travel
29,Barking and Dagenham,Barking,51.54,0.08,Platform 7,51.539826936489035,0.07998799622430715,Platform,travel
30,Barking and Dagenham,Barking,51.54,0.08,Platform 3,51.540259087130906,0.07909992036295696,Platform,travel
31,Barking and Dagenham,Barking,51.54,0.08,Yaki Noodle Bar,51.54013913068071,0.08236653609983975,Chinese Restaurant,food
32,Barking and Dagenham,Barking,51.54,0.08,Barking First Choice Superstore,51.539734590327505,0.0798622714604675,Grocery Store,shops
33,Barking and Dagenham,Barking,51.54,0.08,Tesco Express,51.53963731776434,0.08476022791546511,Grocery Store,shops
34,Barking and Dagenham,Barking,51.54,0.08,McDonald's,51.53732101802417,0.07886873808405047,Fast Food Restaurant,food
35,Barking and Dagenham,Barking,51.54,0.08,Arboretum Place,51.5368114157624,0.08009613931770165,Plaza,parks_outdoors
36,Barking and Dagenham,Chadwell Heath,51.5757,0.144,Moby Golf,51.579908126581444,0.14144197919714702,Mini Golf,parks_outdoors
